20

0	1.8	1.2	0	0	0	0	0	0	1.04	1.12	0	0	1.2	0	0	0	0	0	0
0	0	0.96	24.45	0.78	0	13.95	0	1.2	1.35	0	0	0	0	0	0	0	0	6.9	0
0	0	0	0	0	2.21	0	0	3.15	3.9	0	0	0	13.05	0	0	0	0	13.65	0
0	0	0	0	1.06	5.7	7.5	0	2.34	0	0	1.4	0	0	0	0	0	1.5	15.75	0
0	0	0	0	0	0	2.25	1.35	0	1.56	0	0	0	0	1.35	0	0	0	0	0
0	0	0	0	0	0	6.15	0	0	0	0	0.45	0	0	0	0	0	1.05	0	0
0	0	0	0	0	0	0	24	0	1.87	0	0	0	0.96	0	0	0	1.65	0	3.75
0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7.5	33.45
0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0	7.5	0	0	0
0	0	0	0	0	0	0	0	0	0	0.36	12	0	18.6	1.92	0	0	0	5.25	0
0	0	0	0	0	0	0	0	0	0	0	2.25	0	3	0.96	22.5	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65	0	15	0	8.4	0
0	0	0	0	0	0	0	0	0	0	0	0	0	8	1.04	6	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.75	0	0	0.9	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.65	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
